"NAME","TICKER","COUNTRY","ICB","INDUS","SUP SEC","SEC","SUB SEC"
"Basic Energy Services Inc.","BAS","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Flotek Industries Inc.","FTK","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Trina Solar Ltd.","TSL","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Energy Partners Ltd.","EPL","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Vaalco Energy Inc.","EGY","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Petrobras Argentina S.A.","PZE","Argentina","0537","Oil & Gas","Oil & Gas","Oil & Gas Producers","Integrated Oil & Gas"
"Laredo Petroleum Holdings Inc.","LPI","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"LDK Solar Co. Ltd.","LDKSY","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Goodrich Petroleum Corp.","GDP","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Endeavour International Corp.","ENDRQ","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Texas Pacific Land Trust Sub Share Ctf","TPL","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Yingli Green Energy Holding Co. Ltd.","YGE","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Suntech Power Holdings Co. Ltd.","STP","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"PetroQuest Energy Inc.","PQ","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"BPZ Resources Inc.","BPZ","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"STR Holdings Inc.","STRI","United States","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Cal Dive International Inc.","DVR","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Venoco Inc.","VQ","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Callon Petroleum Co.","CPE","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Teekay Tankers Ltd.","TNK","Greece","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"C&J Energy Services Inc.","CJES","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Global Geophysical Services Inc.","GGS","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Panhandle Oil & Gas Inc.","PHX","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Harvest Natural Resources Inc.","HNR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Rex American Resources Corp.","REX","United States","0587","Oil & Gas","Oil & Gas","Alternative Energy","Alternative Fuels"
"Sanchez Energy Corp.","SN","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Willbros Group Inc.","WG","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Penn Virginia Corp.","PVA","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Delek US Holdings Inc.","DK","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Transportadora de Gas del Sur S.A.","TGS","Argentina","0577","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Pipelines"
"Bonanza Creek Energy Inc.","BCEI","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"ReneSola Ltd.","SOL","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Natural Gas Services Group Inc.","NGS","United States","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
"Hyperdynamics Corp.","HDY","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"China Ming Yang Wind Power Group Ltd.","MY","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Matador Resources Co.","MTDR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Miller Energy Resources Inc.","MILL","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Equal Energy Ltd.","EQU","Canada","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"GMX Resources Inc.","GMXR","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"Alon USA Energy Inc.","ALJ","United States","0533","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production"
"JinkoSolar Holding Co. Ltd.","JKS","China","0583","Oil & Gas","Oil & Gas","Alternative Energy","Renewable Energy Equipment"
"Pacific Drilling S.A.","PACD","United States","",",",",","","",""
"Gushan Environmental Energy Ltd.","GU","China","0587","Oil & Gas","Oil & Gas","Alternative Energy","Alternative Fuels"
"WSP Holdings Ltd.","WH","China","0573","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services"
