Company Name ,Ticker Symbol ,GICS Sector ,Country ,Disclosure Score,Performance Band,Scope 1 (metric tonnes CO2e),Scope 2 (metric tonnes CO2e)
"Mitsubishi UFJ Financial Group, Inc.",8306 JP,Financials,Japan,78,B,19832,205761
"Mizuho Financial Group, Inc.",8411 JP,Financials,Japan,85,A,17629.63,169258.79
Monsanto Company,MON US,Materials,USA,40,,1389817,1144031
Morgan Stanley,MS US,Financials,USA,92,B,14903,366830
MTN Group,MTN SJ,Telecommunication Services,South Africa,69,C,536541,407492
MTR Corporation,66 HK,Industrials,Hong Kong,91,C,39543,1156630
Munich Re,MUV2 GR,Financials,Germany,82,C,90199,101381
National Australia Bank,NAB AU,Financials,Australia,91,A,25688,174437
National Grid,NG/ LN,Utilities,United Kingdom,78,C,8328345,319180
Nestlé,NESN VX,Consumer Staples,Switzerland,100,A,3806467,3233547
Newcrest Mining,NCM AU,Materials,Australia,58,E,1483302,758481
Newmont Mining Corporation,NEM US,Materials,USA,92,C,4414205.63,1145553.1
Twenty-First Century Fox,FOX US,Consumer Discretionary,USA,95,B,76548,401005
NIKE Inc.,NKE US,Consumer Discretionary,USA,69,D,8000,76700
Nippon Telegraph & Telephone Corporation (NTT),9432 JP,Telecommunication Services,Japan,61,E,267000,3558000
"Nissan Motor Co., Ltd.",7201 JP,Consumer Discretionary,Japan,92,C,1017943,2041221
"Noble Energy, Inc.",NBL US,Energy,USA,75,C,2045300,75800
Nokia Group,NOK1V FH,Information Technology,Finland,98,A,18600,251800
Nordea Bank,NDA SS,Financials,Sweden,91,B,34,50199
Norfolk Southern Corp.,NSC US,Industrials,USA,88,B,5127985,277067
Novartis,NOVN VX,Health Care,Switzerland,91,B,657416,1049705
Novatek,NVTK RM,Energy,Russia,,,1847596,70760
Novo Nordisk A/S,NOVOB DC,Health Care,Denmark,90,B,41354,55372
"NTT DOCOMO, INC.",9437 JP,Telecommunication Services,Japan,58,D,92277,1174314
Occidental Petroleum Corporation,OXY US,Energy,USA,60,D,12200000,6900000
Oversea-Chinese Banking,OCBC SP,Financials,Singapore,5,,,
Panasonic Corporation,6752 JP,Consumer Discretionary,Japan,96,A,743722,2930368
Pearson,PSON LN,Consumer Discretionary,United Kingdom,65,D,35806,114730
"PepsiCo, Inc.",PEP US,Consumer Staples,USA,94,B,3980007,2016774
PETROCHINA Company Limited,857 HK,Energy,China,,,,
Petróleo Brasileiro SA - Petrobras,PETR4 BZ,Energy,Brazil,83,C,54931167.41,1269019.44
Pfizer Inc.,PFE US,Health Care,USA,87,A,1402528,1256664
PG&E Corporation,PCG US,Utilities,USA,93,B,3618015,1138434
Philip Morris International,PM US,Consumer Staples,USA,91,A,373641,400883
Royal Philips,PHIA NA,Consumer Discretionary,Netherlands,98,A-,430603,427322
Ping An Insurance Company of China,2318 HK,Financials,China,,,,
"PNC Financial Services Group, Inc.",PNC US,Financials,USA,84,C,49257,380124
POSCO,005490 KS,Materials,South Korea,94,B,74602000,3625000
Potash Corporation of Saskatchewan Inc.,POT CN,Materials,Canada,68,D,8512800,1700000
Power Assets Holdings Limited,6 HK,Utilities,Hong Kong,99,B,8631000,0
Kering,KER FP,Consumer Discretionary,France,58,D,13273,104737
"Praxair, Inc.",PX US,Materials,USA,95,A-,5073000,10933000
Procter & Gamble Company,PG US,Consumer Staples,USA,51,D,2906000,2923299
"Prudential Financial, Inc.",PRU US,Financials,USA,47,,6052,72323
Prudential PLC,PRU LN,Financials,United Kingdom,64,D,13725,123856
PTT Exploration & Production Public Company Limited,PTTEP TB,Energy,Thailand,62,D,2751322,1403
QUALCOMM Inc.,QCOM US,Information Technology,USA,59,D,63300.3,50614.8
Raytheon Company,RTN US,Industrials,USA,90,B,95700,470505
Reckitt Benckiser,RB/ LN,Consumer Staples,United Kingdom,93,A,94406,195271
Repsol,REP SM,Energy,Spain,98,A-,23138229,1558287
Reynolds American Inc.,RAI US,Consumer Staples,USA,63,D,113517,180735
Rio Tinto,RIO LN,Materials,United Kingdom,82,C,27500000,17200000
Roche Holding AG,ROG VX,Health Care,Switzerland,75,B,444823,418177
Rogers Communications Inc.,RCI/B CN,Consumer Discretionary,Canada,66,D,36443,115201
Rolls-Royce,RR/ LN,Industrials,United Kingdom,72,B,224500,344383
Royal Bank of Scotland Group,RBS LN,Financials,United Kingdom,89,B,71065,584372
Royal Dutch Shell,RDSA NA,Energy,Netherlands,89,B,74000000,10000000
RWE AG,RWE GR,Utilities,Germany,78,B,163800000,2420000
SABMiller,SAB LN,Consumer Staples,United Kingdom,68,C,1410135,783073
Saint-Gobain,SGO FP,Industrials,France,95,B,14126000,4963000
Samsung Electronics,005930 KS,Information Technology,South Korea,96,B,4045113,7258865
SANOFI,SAN FP,Health Care,France,93,B,756642,799828
SAP AG,SAP GR,Information Technology,Germany,90,B,145236,140611
Sasol Limited,SOL SJ,Energy,South Africa,81,C,65469000,9308000
Schlumberger Limited,SLB US,Energy,USA,92,C,1761333,341824
Schneider Electric,SU FP,Industrials,France,92,A,122688,360044
"Seven & I Holdings Co., Ltd.",3382 JP,Consumer Staples,Japan,74,C,137972,2504070
"Shin-Etsu Chemical Co., Ltd.",4063 JP,Materials,Japan,44,,1528537,2735102
Shinhan Financial Group,055550 KS,Financials,South Korea,78,C,3868,32897
Shire,SHP LN,Health Care,Ireland,77,D,28114.89,36439.33
Siemens Aktiengesellschaft,SIE GR,Industrials,Germany,98,A-,1263000,1841000
Simon Property Group,SPG US,Financials,USA,92,B,22605,561403
Societe Generale,GLE FP,Financials,France,70,C,31630,160060
Sony Corporation,6758 JP,Information Technology,Japan,97,B,353977,1271373
Spectra Energy Corp,SE US,Energy,USA,95,B,9244770,955540
SSE,SSE LN,Utilities,United Kingdom,90,B,24791474,1403430
Standard Bank Group,SBK SJ,Financials,South Africa,74,D,9154,151036
Standard Chartered,STAN LN,Financials,United Kingdom,92,B,10643,239813
Starbucks Corporation,SBUX US,Consumer Discretionary,USA,81,B,228505,751457
State Bank of India,SBIN IN,Financials,India,19,,,
State Street Corporation,STT US,Financials,USA,71,C,4890,139007
Statoil ASA,STL NO,Energy,Norway,75,C,14347351,462838
Suncor Energy Inc.,SU CN,Energy,Canada,84,B,16600796,2138681
Swiss Re,SREN VX,Financials,Switzerland,95,B,5100,12000
Swisscom,SCMN VX,Telecommunication Services,Switzerland,85,B,23242,33677
Syngenta International AG,SYNN VX,Materials,Switzerland,84,B,578000,374000
Taiwan Semiconductor Manufacturing,2330 TT,Information Technology,Taiwan,76,B,1375110,2911107
Takeda Pharmaceutical Company Limited,4502 JP,Health Care,Japan,70,C,171978,167664
Target Corporation,TGT US,Consumer Discretionary,USA,87,B,476783,2598661
Tata Consultancy Services,TCS IN,Information Technology,India,78,C,34219,300803
TD Bank Group,TD CN,Financials,Canada,78,B,47265,174754
Teck Resources Limited,TCK/B CN,Materials,Canada,88,B,2655347,299348
Telefonica,TEF SM,Telecommunication Services,Spain,92,B,111516.39,1615528
Telenor Group,TEL NO,Telecommunication Services,Norway,76,C,283480,816205
TeliaSonera,TLSN SS,Telecommunication Services,Sweden,69,D,39370,228355
Telstra Corporation,TLS AU,Telecommunication Services,Australia,84,B,55137,1359125
Tesco,TSCO LN,Consumer Staples,United Kingdom,91,B,1944344,3596445
Teva Pharmaceutical Industries Ltd,TEVA IT,Health Care,Israel,69,D,210684,489745
Texas Instruments Incorporated,TXN US,Information Technology,USA,61,D,897759,1481735
The Chubb Corporation,CB US,Financials,USA,58,D,1767,13500
The Coca-Cola Company,KO US,Consumer Staples,USA,96,B,2420996,1308327
"The Home Depot, Inc.",HD US,Consumer Discretionary,USA,95,B,281083,2738927
The Southern Company,SO US,Utilities,USA,48,,121000000,
"The Travelers Companies, Inc.",TRV US,Financials,USA,68,C,36254,42222
Thermo Fisher Scientific Inc.,TMO US,Health Care,USA,69,D,68804,308736
Time Warner Inc.,TWX US,Consumer Discretionary,USA,48,,24635,209154
"TJX Companies, Inc.",TJX US,Consumer Discretionary,USA,97,B,58479,697280
"Tokio Marine Holdings, Inc.",8766 JP,Financials,Japan,75,D,18013,52665
Toshiba Corporation,6502 JP,Information Technology,Japan,88,C,822000,1720000
Total,FP FP,Energy,France,76,B,46300000,5500000
Toyota Motor Corporation,7203 JP,Consumer Discretionary,Japan,81,C,2809000,4415000
TransCanada Corporation,TRP CN,Energy,Canada,83,C,12064325,177621
Tullow Oil,TLW LN,Energy,United Kingdom,44,,1376587.72,153.23
U.S. Bancorp,USB US,Financials,USA,77,C,45725,385661
UBS,UBSN VX,Financials,Switzerland,97,A,25235,227978
Unibail-Rodamco,UL FP,Financials,France,79,B,18429,70493
Unilever plc,ULVR LN,Consumer Staples,United Kingdom,84,A,1048797,1443174
Union Pacific Corporation,UNP US,Industrials,USA,87,B,11854279,410738
United Technologies Corporation,UTX US,Industrials,USA,70,C,856354,915866
UnitedHealth Group Inc,UNH US,Health Care,USA,66,D,10155,112156
UPS,UPS US,Industrials,USA,99,B,11980892,891430
Vale,VALE3 BZ,Materials,Brazil,88,C,16026693.27,876774.38
Verizon Communications Inc.,VZ US,Telecommunication Services,USA,66,B,533459.79,5216554.69
Vinci,DG FP,Industrials,France,80,C,2068019,234440
Vivendi SA,VIV FP,Consumer Discretionary,France,57,E,48073,313020
Vodacom Group,VOD SJ,Telecommunication Services,South Africa,88,B,46680.23,384291.71
Vodafone Group,VOD LN,Telecommunication Services,United Kingdom,73,C,358691,2111294
Wal Mart de Mexico,WALMEXV MM,Consumer Staples,Mexico,69,C,741226,887178
