"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"GDP","Goodrich Petroleum Corporation","9.52","422952370.4","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gdp",
"GTI","GrafTech International Ltd","4.72","642757658.4","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gti",
"GTE","Gran Tierra Energy Inc.","4.9","1348890997.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte",
"GULTU","Gulf Coast Ultra Deep Royalty Trust","1.76","405103944.96","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gultu",
"GLF","GulfMark Offshore, Inc.","28.56","752214965.04","n/a","n/a","Energy","Metal Fabrications","http://www.nasdaq.com/symbol/glf",
"GPOR","Gulfport Energy Corporation","49.28","4213413635.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gpor",
"HK","Halcon Resources Corporation","3.1","1306869861.3","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hk",
"HNRG","Hallador Energy Company","10.66","306698860","n/a","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/hnrg",
"HAL","Halliburton Company","55.85","47501969811","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/hal",
"HNR","Harvest Natural Resources Inc","3.06","128806829.1","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hnr",
"HLX","Helix Energy Solutions Group, Inc.","25.58","2699752567.62","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/hlx",
"HP","Helmerich & Payne, Inc.","88.61","9589986406.49","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hp",
"HERO","Hercules Offshore, Inc.","1.55","249208787.65","n/a","2005","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hero",
"HES","Hess Corporation","82.22","25301112747.66","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/hes",
"HEP","Holly Energy Partners, L.P.","34.74","2037745847.52","n/a","2004","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/hep",
"HFC","HollyFrontier Corporation","44.48","8831622227.84","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/hfc",
"HOLI","Hollysys Automation Technologies, Ltd.","23.23","1336998561.52","n/a","n/a","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/holi",
"HUSA","Houston American Energy Corporation","0.26","13564185.7","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa",
"HGT","Hugoton Royalty Trust","9.15","366000000","n/a","1999","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hgt",
"HDY","HyperDynamics Corporation","1.675","35253039.925","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/hdy",
"IEP","Icahn Enterprises L.P.","102.08","12252802964.16","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/iep",
"IPWR","Ideal Power Inc.","6.95","48756633.85","n/a","2013","Energy","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ipwr",
"IMO","Imperial Oil Limited","46.21","39167550298.31","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo",
"ICD","Independence Contract Drilling, Inc.","7.81","190213760.55","n/a","2014","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/icd",
"IOC","InterOil Corporation","53.78","2694916768.04","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ioc",
"IO","Ion Geophysical Corporation","2.67","438109649.37","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/io",
