"Friday October 17, 2014","<span id=""yfs_j10_abx"">15.69B</span>",26.66B,N/A,12.91,-0.57,1.46,1.21,2.43,5.56,Dec 31,"Jun 30, 2014",-25.87%,27.62%,4.90%,-17.78%,10.98B,9.94,-24.00%,5.27B,4.79B,-2.83B,N/A,N/A,2.55B,2.19,13.16B,82.29,2.87,11.39,3.32B,-518.95M,N/A,-25.59%,6.78%,21.45,13.40,15.58,17.27,"9,608,040","15,001,100",1.16B,1.16B,N/A,N/A,13.38M,1.30,N/A,13.41M,N/A,N/A,0.20,1.50%,1.30%,N/A,"Sep 15, 2014","Aug 27, 2014",2:1,"Mar 2, 1993"
"Friday October 17, 2014","<span id=""yfs_j10_bas"">601.69M</span>",1.36B,N/A,9.72,4.11,0.43,1.64,1.02,5.12,Dec 31,"Jun 30, 2014",-1.04%,4.03%,2.13%,-3.92%,1.33B,32.82,10.40%,394.82M,265.05M,-13.82M,-0.35,N/A,98.99M,2.42,879.38M,250.94,2.37,8.56,191.23M,37.96M,2.09,4.38%,6.78%,29.84,11.68,20.72,24.96,"1,532,680","3,419,520",40.96M,33.65M,7.39%,20.10%,4.46M,3.40,15.30%,5.97M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_bax"">36.71B</span>",43.90B,19.10,12.97,1.42,2.26,4.26,2.68,10.53,Dec 31,"Jun 30, 2014",11.90%,19.72%,8.16%,24.32%,16.36B,30.15,16.20%,7.60B,4.17B,1.95B,3.55,-11.90%,1.87B,3.45,8.84B,101.75,1.64,15.99,3.21B,83.75M,0.61,3.30%,6.78%,77.31,64.78,72.63,73.93,"2,291,950","3,290,850",541.67M,539.89M,0.15%,84.50%,8.59M,3.70,1.60%,8.52M,2.08,3.00%,2.02,2.10%,2.50%,56.00%,"Oct 1, 2014","Sep 3, 2014",2:1,"May 31, 2001"
"Friday October 17, 2014","<span id=""yfs_j10_bayn"">43.08K</span>",-69.46M,N/A,N/A,N/A,N/A,N/A,13.55,N/A,Dec 31,"Mar 31, 2010",N/A,256.78%,-6.20%,-341.12%,-5.13M,-2.38,N/A,N/A,N/A,-17.96M,-8.34,N/A,77.51M,35.97,8.00M,N/A,N/A,-1.67,435.38K,N/A,N/A,N/A,N/A,1.45,0.01,N/A,N/A,N/A,N/A,2.15M,N/A,25.85%,31.80%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Friday October 17, 2014","<span id=""yfs_j10_bbva"">65.66B</span>",149.65B,76.97,12.99,2.72,4.10,1.13,9.57,N/A,Dec 31,"Jun 30, 2014",5.45%,20.14%,0.13%,1.62%,15.63B,2.79,N/A,N/A,N/A,254.03M,0.14,N/A,139.80B,23.76,225.32B,N/A,N/A,9.63,2.10B,N/A,1.36,-14.71%,6.78%,13.60,10.69,12.04,12.36,"1,340,010","2,299,180",5.88B,5.88B,N/A,N/A,3.93M,3.50,N/A,3.85M,0.41,3.60%,0.45,4.10%,4.10%,81.00%,"Oct 27, 2014","Sep 24, 2014",60:59,"Mar 29, 2011"
"Friday October 17, 2014","<span id=""yfs_j10_bce"">32.57B</span>",49.18B,17.77,12.93,3.96,1.78,3.30,2.68,7.42,Dec 31,"Jun 30, 2014",10.53%,22.27%,6.55%,15.62%,18.38B,23.67,4.40%,7.61B,6.63B,1.82B,2.36,5.80%,132.52M,0.17,16.69B,119.90,0.57,12.71,5.65B,1.22B,0.50,-4.09%,6.78%,46.70,40.60,43.58,44.67,"797,963","962,275",778.15M,775.17M,0.00%,46.00%,8.26M,10.50,N/A,9.41M,2.26,5.30%,2.24,5.30%,5.20%,93.00%,"Oct 15, 2014","Sep 11, 2014",2:1,"May 23, 1997"
"Friday October 17, 2014","<span id=""yfs_j10_bdx"">23.42B</span>",24.50B,24.79,18.14,2.30,2.79,4.31,2.96,11.28,Sep 30,"Jun 30, 2014",11.75%,19.97%,8.64%,19.30%,8.29B,42.76,5.10%,4.17B,2.17B,974.00M,4.93,7.90%,2.64B,13.78,3.97B,73.88,2.89,28.03,1.88B,1.17B,0.95,15.24%,6.78%,130.21,103.80,117.72,117.12,"1,208,490","2,882,880",191.84M,190.71M,0.34%,84.70%,7.14M,7.60,3.70%,6.82M,2.18,1.70%,2.18,1.80%,2.10%,43.00%,"Sep 30, 2014","Sep 5, 2014",2:1,"Aug 21, 1998"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_bhp"">157.61B</span>",182.28B,11.43,18.69,3.72,2.32,1.97,2.71,6.12,Jun 30,"Jun 30, 2014",20.58%,31.19%,9.02%,18.95%,67.22B,25.27,-1.90%,67.21B,29.78B,13.83B,5.18,-15.70%,8.82B,3.31,34.86B,40.83,1.23,29.75,25.36B,3.21B,1.40,-15.63%,6.78%,73.91,55.59,62.05,68.15,"2,434,790","4,033,680",2.66B,2.65B,N/A,N/A,10.89M,4.50,N/A,11.19M,2.48,4.20%,2.42,4.10%,3.10%,46.00%,"Sep 23, 2014","Sep 3, 2014",2:1,"Jun 25, 1996"
"Friday October 17, 2014","<span id=""yfs_j10_biib"">72.93B</span>",70.51B,34.36,19.30,1.11,8.57,7.48,8.45,19.37,Dec 31,"Jun 30, 2014",25.64%,36.23%,15.91%,24.59%,8.34B,35.26,40.50%,6.07B,3.64B,2.14B,8.99,45.60%,1.57B,6.66,589.48M,6.16,2.05,40.49,2.64B,2.58B,1.34,23.62%,6.78%,358.89,230.25,326.55,315.37,"1,181,630","1,574,140",236.14M,235.80M,0.09%,94.50%,3.10M,2.90,1.50%,2.98M,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3:1,"Jan 18, 2001"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_bk"">41.04B</span>",-94.18B,15.74,13.60,1.51,2.78,1.11,-6.39,N/A,Dec 31,"Jun 30, 2014",18.80%,26.07%,0.74%,7.42%,14.74B,12.92,-7.10%,14.88B,N/A,2.65B,2.30,-31.60%,189.38B,167.36,54.28B,N/A,N/A,32.49,2.70B,N/A,1.43,14.87%,6.78%,40.80,30.82,38.72,36.81,"5,663,590","6,051,320",1.13B,1.13B,0.20%,82.60%,7.15M,1.30,0.60%,9.42M,0.68,1.90%,0.64,1.80%,1.80%,26.00%,"Aug 8, 2014","Jul 25, 2014",2:1,"Aug 14, 1998"
"Friday October 17, 2014","<span id=""yfs_j10_ba"">88.82B</span>",84.28B,18.67,14.50,1.36,0.98,6.17,0.95,10.18,Dec 31,"Jun 30, 2014",5.67%,7.24%,4.33%,45.94%,88.42B,118.41,1.10%,13.36B,8.28B,5.00B,6.60,51.90%,11.28B,15.66,8.88B,62.63,1.23,19.49,7.11B,2.81B,0.89,-1.82%,6.78%,144.57,116.32,125.93,127.77,"4,134,820","4,526,550",720.61M,668.02M,0.08%,10.30%,13.58M,3.80,2.20%,15.27M,2.92,2.40%,2.68,2.20%,2.30%,37.00%,"Sep 5, 2014","Aug 6, 2014",2:1,"Jun 9, 1997"
"Friday October 17, 2014"
"Friday October 17, 2014","<span id=""yfs_j10_bmy"">83.81B</span>",82.17B,N/A,28.81,2.83,5.04,5.32,5.07,18.49,Dec 31,"Jun 30, 2014",16.59%,20.71%,6.01%,18.13%,16.21B,9.82,-3.90%,11.77B,4.44B,2.69B,N/A,-37.90%,7.18B,4.33,7.74B,50.33,1.80,9.24,4.14B,3.36B,N/A,-1.01%,6.78%,57.49,46.30,50.61,49.66,"5,727,890","6,704,740",1.66B,1.65B,0.10%,68.70%,33.50M,6.30,2.00%,32.19M,N/A,N/A,1.44,2.90%,4.10%,88.00%,"Nov 3, 2014","Oct 1, 2014",2:1,"Mar 1, 1999"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014"
"Friday October 17, 2014"
